,titulo,movieId,user_id
0,Perfume: The Story of a Murderer,48997,1
1,"Zero Theorem, The",109187,1
2,Chi-Raq,148424,1
3,Tom Segura: Mostly Stories,162344,1
4,Black Dynamite,72171,1
5,Africa: The Serengeti,4458,1
6,Last Shift,142598,1
7,Neal Brennan: 3 Mics,168846,1
8,Eden,127184,1
9,Paradox,119167,1
10,Insidious: Chapter 2,104908,1
0,The Second Renaissance Part II,182639,2
1,Ghost in the Shell,168612,2
2,Gulliver's Travels,173873,2
3,Noin 7 veljestä,155589,2
4,Victoria,128620,2
5,The End of the Tour,127114,2
6,Crimson Peak,128838,2
7,Prime Suspect 3,96471,2
8,"Five-Year Engagement, The",94266,2
9,Arthur Christmas,91414,2
10,Law Abiding Citizen,71838,2
0,It Comes at Night,170945,3
1,Guyver: Dark Hero,169904,3
2,Annihilation,182715,3
3,Ex Machina,115713,3
4,Shame,90531,3
5,"Cove, The",71462,3
6,"Deaths of Ian Stone, The",56620,3
7,Split,166534,3
8,Idiocracy,47997,3
9,"Wind Will Carry Us, The (Bad ma ra khahad bord)",27255,3
10,Cop Car,140725,3
0,Beerfest,47640,608
1,"Aviator, The",30812,608
2,Son of a Gun,120783,608
3,Dawn of the Planet of the Apes,112623,608
4,Escape Plan,105653,608
5,"Double, The",90738,608
6,Harold & Kumar Escape from Guantanamo Bay,59022,608
7,Colors,4488,608
8,Heartbreaker (L'Arnacoeur),81383,608
9,Monsters University,103141,608
10,Idiocracy,47997,608
0,Cars 2,87876,609
1,Legend No. 17,130976,609
2,L.A. Slasher,143559,609
3,Comedy of the Strict Regime,159069,609
4,Pixel Perfect,182731,609
5,Corner Gas: The Movie,119714,609
6,Doctor Who: Voyage Of The Damned,147382,609
7,English Vinglish,99636,609
8,"Imposter, The",97866,609
9,Mr Hublot,115819,609
10,Charlie Bartlett,54281,609
0,Little Man,46865,610
1,Million Dollar Baby,30707,610
2,Melinda and Melinda,32291,610
3,Particle Fever,109687,610
4,"Cabin in the Woods, The",93840,610
5,Submarine,87234,610
6,"Fearless Hyena, The (Xiao quan guai zhao)",98499,610
7,UnHung Hero,105746,610
8,"Fighter, The",81932,610
9,Beauty and the Beast: The Enchanted Christmas,95170,610
10,Holy Motors,96832,610
